"when","query","intent","rows","ms","status","error"
"11/4/2025 6:26:20 PM","Show inventory detail for site 101","OPERATIONAL","157","7","PASS",""
"11/4/2025 6:26:22 PM","Show items at site 101 sorted by available descending","OPERATIONAL","157","4","PASS",""
"11/4/2025 6:26:25 PM","Totals by site (onhand & available) sorted by available descending","OPERATIONAL","5","14","PASS",""
"11/4/2025 6:26:27 PM","Show inventory detail for site 102","OPERATIONAL","176","5","PASS",""
"11/4/2025 6:26:30 PM","Show items at site 102 sorted by available descending","OPERATIONAL","176","5","PASS",""
"11/4/2025 6:26:34 PM","Show inventory detail for site 103","OPERATIONAL","155","6","PASS",""
"11/4/2025 6:26:37 PM","Show items at site 103 sorted by onhand descending","OPERATIONAL","155","6","PASS",""
"11/4/2025 6:26:40 PM","Show items at site 201 sorted by available descending","OPERATIONAL","194","7","PASS",""
"11/4/2025 6:26:42 PM","Show items at site 301 sorted by available descending","OPERATIONAL","168","5","PASS",""
"11/4/2025 6:26:44 PM","Top 10 orgs by on-hand descending","COMPARATIVE","5","15","PASS",""
"11/4/2025 6:33:46 PM","On-hand totals by organization","OPERATIONAL","5","15","PASS",""
"11/4/2025 6:34:03 PM","Available totals by organization","OPERATIONAL","5","15","PASS",""
"11/4/2025 6:34:05 PM","Show items at site 101 sorted by item ascending","OPERATIONAL","157","5","PASS",""
"11/4/2025 6:34:07 PM","Show items at site 102 sorted by item ascending","OPERATIONAL","176","7","PASS",""
"11/4/2025 6:34:09 PM","Total on-hand by site sorted by onhand descending","OPERATIONAL","5","12","PASS",""
"11/4/2025 6:34:11 PM","Total available by site sorted by available descending","OPERATIONAL","5","11","PASS",""
"11/4/2025 6:34:14 PM","Show items at site 101 sorted by available ascending","OPERATIONAL","157","3","PASS",""
"11/4/2025 6:34:17 PM","Show delivery status counts sorted by so_number descending","EXCEPTION","4","14","PASS",""
"11/4/2025 6:34:20 PM","Delivery status counts","EXCEPTION","0","0","PASS",""
"11/4/2025 6:34:22 PM","Show delivery status counts sorted by so_number ascending","EXCEPTION","4","16","PASS",""
"11/4/2025 6:34:24 PM","PO-0000173 sorted by promised date descending","TRANSACTIONAL","1","2","PASS",""
"11/4/2025 6:34:27 PM","PO-0000173","TRANSACTIONAL","1","3","PASS",""
"11/4/2025 6:34:30 PM","Show PO lines for PO-0000173 sorted by need by date ascending","TRANSACTIONAL","1","2","PASS",""
"11/4/2025 6:34:32 PM","Inventory vs open PO by item at site 101","MIXED","174","20","PASS",""
"11/4/2025 6:34:35 PM","Inventory vs open PO by item at site 102","MIXED","205","22","PASS",""
"11/4/2025 6:34:39 PM","Inventory vs open PO by item at site 103","MIXED","182","25","PASS",""
"11/4/2025 6:34:42 PM","Inventory vs open PO by item at site 201","MIXED","213","24","PASS",""
"11/4/2025 6:34:47 PM","Inventory vs open PO by item at site 301","MIXED","187","24","PASS",""
"11/4/2025 6:34:50 PM","Show inventory detail (no site filter)","OPERATIONAL","850","9","PASS",""
"11/4/2025 6:34:53 PM","Totals by site and item sorted by available descending","OPERATIONAL","5","13","PASS",""
"11/4/2025 6:34:57 PM","Totals by site and item sorted by onhand descending","OPERATIONAL","5","15","PASS",""
"11/4/2025 6:34:59 PM","Totals by site (onhand & available) sorted by available descending","OPERATIONAL","5","13","PASS",""
"11/4/2025 6:35:02 PM","Totals by site (onhand & available) sorted by onhand descending","OPERATIONAL","5","13","PASS",""
"11/4/2025 6:35:04 PM","Show items at site 101 ","OPERATIONAL","157","5","PASS",""
"11/4/2025 6:35:07 PM","Show items at site 101 ","OPERATIONAL","157","4","PASS",""
"11/4/2025 6:35:09 PM","Show items at site 101 ","OPERATIONAL","157","4","PASS",""
"11/4/2025 6:35:12 PM","Show items at site 101 ","OPERATIONAL","157","4","PASS",""
